P684,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],aaaba,Group: 0
P467,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],aaaba,Group: 0
P661,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],ababa,Group: 0
P421,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],ababa,Group: 0
P730,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],babaa,Group: 0
P708,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],babaa,Group: 0
P647,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],aabaa,Group: 0
P469,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],aabaa,Group: 0
P420,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],aabaa,Group: 0
P680,[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],aabaa,Group: 0
P668,[0-1],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],babba,Group: 1
P713,[0-1],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],babba,Group: 1
P667,[0-1],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],bbaaa,Group: 1
P716,[0-1],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],bbaaa,Group: 1
